StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q281_Browser,Q281_Version,Q281_Operating System,Q281_Resolution,Q283_Browser,Q283_Version,Q283_Operating System,Q283_Resolution,Q205,Q284_1,Q284_2,Q284_3,Q290_1,Q290_2,Q290_3,Q287_1,Q287_2,Q287_3,Q293_1,Q293_2,Q293_3,Q296_1,Q296_2,Q296_3,Q299_1,Q299_2,Q299_3,1_Q174_11,2_Q174_11,3_Q174_11,4_Q174_11,5_Q174_11,6_Q174_11,7_Q174_11,8_Q174_11,1_Q175_11,2_Q175_11,3_Q175_11,4_Q175_11,5_Q175_11,6_Q175_11,7_Q175_11,8_Q175_11,1_Q177_11,2_Q177_11,3_Q177_11,4_Q177_11,5_Q177_11,6_Q177_11,7_Q177_11,8_Q177_11,1_Q176_11,2_Q176_11,3_Q176_11,4_Q176_11,5_Q176_11,6_Q176_11,7_Q176_11,8_Q176_11,1_Q179_11,2_Q179_11,3_Q179_11,4_Q179_11,5_Q179_11,6_Q179_11,7_Q179_11,8_Q179_11,Q228_1,Q228_2,Q228_3,Q228_4,Q228_5,Q228_6,Q260_1,Q261_1,Q266_1,Q267_1,Q272_1,Q273_1,Q275_1,Q276_1,Q184_1,Q186_1,Q278_1,Q279_1,State_Familiar_1,State_Familiar_2,State_Familiar_3,State_Familiar_4,State_Familiar_5,State_Familiar_6,State_Familiar_7,State_Familiar_8,PastElectionFamiliar_1,PastElectionFamiliar_2,PastElectionFamiliar_3,PastElectionFamiliar_4,PastElectionFamiliar_5,PastElectionFamiliar_6,PastElectionFamiliar_7,PastElectionFamiliar_8,Party_Likability_1,Party_Likability_2,Polarization_Beliefs_1,Polarization_Beliefs_2,Polarization_Beliefs_3,Polarization_Beliefs_4,Q236,Q238,Q240,Q242,Q244,Q244_5_TEXT,Q246,Q248,Q248_5_TEXT,Q250,Q252,Q252_5_TEXT,Q256,Q256_6_TEXT,Q258,Q260,Q262,Q15,mTurkCode,mapNumCode,condition
10/30/20 6:05,10/30/20 6:11,0,100,366,1,10/30/20 6:11,R_PRRcLqKFhAewLaF,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Neutral,Like,Dislike,,,,,,,,,,,,,,,,,,,,71,69,64,66,67,72,70,62,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,65,64,,,,,,,4,3,5,5,5,4,5,5,3,3,2,3,3,3,2,3,69,68,7,6,7,6,"conducting a research survey on political maps
","map's color have a Relationship to an object or feature on the ground.
","BLUE COLOR WAS I SAW ON THE MAPS IN THE FIRST TASK. I ASSOCIATED THEM WITH A DEMOCRATE POLITICAL PARTY.
","BLUE COLOR WAS I SAW ON THE MAP IN THE SECOND TASK. I ASSOCIATED THEM WITH A DEMOCRATE POLITICAL PARTY
",2,,1,2,,6,1,,5,,5,4,2,GOOD,357045,5,redblue
10/30/20 6:07,10/30/20 6:15,0,100,466,1,10/30/20 6:15,R_3JJYv7MrYSaU6LB,,,,,anonymous,EN,,,,,,,,,1,Dislike,Like,Neutral,,,,,,,,,,,,,,,,55,50,53,52,52,50,53,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,56,50,,,4,4,5,3,3,2,2,3,2,2,2,3,1,2,3,2,82,0,6,7,7,5,I'm not sure really,"Not at all, I didn't even consider it","The maps were grey, which is a neutral color to me",It was either grey or black I think. I didn't associate it with either political party.,1,,1,2,,4,1,,5,,36,2,2,,263153,64,grey
10/30/20 6:20,10/30/20 6:20,0,100,38,1,10/30/20 6:20,R_1LhrpvCorfpT3hI,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Like,Dislike,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698716,6,
10/30/20 6:21,10/30/20 6:26,0,100,316,1,10/30/20 6:26,R_ZJgjRQ62MzLaO5P,,,,,anonymous,EN,,,,,,,,,1,Dislike,Like,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,75,76,75,77,76,78,76,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,16,90,,,,,,,,,4,5,4,5,4,5,4,4,2,2,2,2,2,2,2,2,56,77,6,7,6,7,survey on political maps,GOOD,GREEN,RED,2,,2,2,,6,1,,5,,5,5,2,NICE,955108,41,greenorange
10/30/20 6:20,10/30/20 6:28,0,100,449,1,10/30/20 6:28,R_w0NyHPfCxlFEbdL,,,,,anonymous,EN,,,,,,,,,1,,,,,,,Like,Dislike,Neutral,,,,,,,,,,,,,,,,,,34,47,30,40,54,45,47,55,,,,,,,,,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,51,100,,,,,1,4,4,1,4,4,1,2,2,2,3,3,2,2,1,2,80,40,7,7,2,5,How well we understand politics in the US ,Political majority,Red and Blue    not really,Red and Blue   not really,1,,1,6,,8,1,,5,,23,4,2,,18050,30,redblue
10/30/20 6:32,10/30/20 6:40,0,100,480,1,10/30/20 6:40,R_3RdB0DKmKdFVMiN,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Neutral,Dislike,Like,,,,,,,,,53,49,48,58,52,47,49,47,,,,,,,,,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,46,49,,,,,,,5,2,4,4,1,2,2,4,2,2,2,2,3,1,1,2,42,12,7,7,6,6,Political polarization in voters,Read for the Republican Party and blue for the Democrat party,I associated red to mean that the state was mostly Republican. I associated blue to mean that the state was mostly Democrat,The color was blue. I took it to mean that the Democrats won that county,1,,1,4,,4,1,,2,,33,4,2,,375100,38,redblue
10/30/20 7:42,10/30/20 7:43,0,100,22,1,10/30/20 7:43,R_WoN7s6F2xtwwKl3,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Like,Dislike,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176999,33,
10/30/20 7:43,10/30/20 7:43,0,100,11,1,10/30/20 7:43,R_ypSf5QEXS40CBTX,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Neutral,Like,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323161,12,
10/30/20 7:43,10/30/20 7:43,0,100,15,1,10/30/20 7:43,R_3ebrsKMXTuHDdka,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Like,Like,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327837,23,
10/30/20 7:43,10/30/20 7:43,0,100,40,1,10/30/20 7:43,R_2AQE0geH4kNQ5lx,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19710,43,
10/30/20 7:43,10/30/20 7:43,0,100,33,1,10/30/20 7:43,R_11Z1ENTjoRVa2nX,,,,,anonymous,EN,,,,,,,,,1,,,,,,,Like,Like,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492894,20,
10/30/20 7:43,10/30/20 7:43,0,100,12,1,10/30/20 7:43,R_295q7SjAo0whnU5,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970850,45,
10/30/20 7:43,10/30/20 7:43,0,100,17,1,10/30/20 7:43,R_3syPh06FiW0CcWV,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945673,41,
10/30/20 7:42,10/30/20 7:43,0,100,56,1,10/30/20 7:43,R_eDKTMw7cA92jfs5,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Neutral,Dislike,Dislike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341029,33,
10/30/20 7:42,10/30/20 7:44,0,100,72,1,10/30/20 7:44,R_6hy8rAvIPgYfEjL,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872937,63,
10/30/20 7:43,10/30/20 7:44,0,100,15,1,10/30/20 7:44,R_2yfI1pTdzmVGgws,,,,,anonymous,EN,,,,,,,,,1,,,,,,,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725434,52,
10/30/20 7:43,10/30/20 7:44,0,100,31,1,10/30/20 7:44,R_2xIXFWf454hETSX,,,,,anonymous,EN,,,,,,,,,1,Like,Like,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12581,48,
10/30/20 7:44,10/30/20 7:44,0,100,11,1,10/30/20 7:44,R_TqtfOmOqeMSOKid,,,,,anonymous,EN,,,,,,,,,1,,,,,,,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27030,47,
10/30/20 7:43,10/30/20 7:44,0,100,29,1,10/30/20 7:44,R_3oI4NKFZrDhzOuK,,,,,anonymous,EN,,,,,,,,,1,,,,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133996,66,
10/30/20 7:43,10/30/20 7:44,0,100,25,1,10/30/20 7:44,R_bd3UTi5JtvV2Q5b,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Neutral,Like,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833903,46,
10/30/20 7:43,10/30/20 7:44,0,100,35,1,10/30/20 7:44,R_xhEo5rJHgfDyxc5,,,,,anonymous,EN,,,,,,,,,1,,,,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935182,46,
10/30/20 7:43,10/30/20 7:44,0,100,39,1,10/30/20 7:44,R_DNYgnMdM89f85fH,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Neutral,Like,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808038,52,
10/30/20 7:43,10/30/20 7:44,0,100,31,1,10/30/20 7:44,R_2wADGObVfRUzwVH,,,,,anonymous,EN,,,,,,,,,1,,,,,,,Like,Neutral,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445085,23,
10/30/20 7:43,10/30/20 7:44,0,100,32,1,10/30/20 7:44,R_UrljYcNwimkVjc5,,,,,anonymous,EN,,,,,,,,,1,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788649,12,
